name,location,description
"Downtown Portland","Portland, OR","Urban core neighborhood with great walkability and nightlife"
"Pearl District","Portland, OR","Modern neighborhood known for art galleries and dining"
"Alberta Arts District","Portland, OR","Artsy neighborhood with unique shops and restaurants"
"Central West End","St. Louis, MO","Historic neighborhood with beautiful architecture"
"Soulard","St. Louis, MO","Historic French neighborhood known for Mardi Gras celebrations"
"The Hill","St. Louis, MO","Italian-American neighborhood with great restaurants"
"Downtown Seattle","Seattle, WA","Urban core with tech companies and waterfront views"
"Capitol Hill","Seattle, WA","Vibrant neighborhood with nightlife and restaurants"
"Fremont","Seattle, WA","Artistic neighborhood known as the Center of the Universe"
"6th Street District","Austin, TX","Entertainment district with live music venues"
"South Congress","Austin, TX","Trendy area with boutique shops and food trucks"
"East Austin","Austin, TX","Hip neighborhood with craft breweries and food scene"
